"word_id" "word_status" "repnum" "repstatus" "run" "lag" "correct" "RT" "crossrun" "sid"
39 "real" 6 "REPEAT" 1 8 1 1254.7896 FALSE 1001
42 "real" 5 "REPEAT" 1 16 1 1060.3259 FALSE 1001
42 "real" 6 "REPEAT" 1 1 1 792.224 FALSE 1001
0 "pseudo" 1 "NOVEL" 1 0 1 1047.2352 FALSE 1001
0 "pseudo" 1 "NOVEL" 1 0 0 1091.2443 FALSE 1001
0 "pseudo" 1 "NOVEL" 1 0 1 1057.88 FALSE 1001
41 "pseudo" 7 "REPEAT" 1 16 1 893.764 FALSE 1001
29 "pseudo" 5 "REPEAT" 1 32 0 948.3143 FALSE 1001
29 "pseudo" 6 "REPEAT" 1 1 1 854.1966 FALSE 1001
0 "real" 1 "NOVEL" 1 0 1 1011.4286 FALSE 1001
42 "real" 7 "REPEAT" 1 8 1 1064.3122 FALSE 1001
46 "real" 5 "REPEAT" 1 32 0 1273.0891 FALSE 1001
32 "pseudo" 2 "REPEAT" 1 16 1 1232.5525 FALSE 1001
32 "pseudo" 3 "REPEAT" 1 1 1 805.6147 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1117.0748 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1207.5745 FALSE 1001
39 "real" 7 "REPEAT" 2 16 1 1059.0675 TRUE 1001
0 "real" 1 "NOVEL" 2 0 0 1169.0634 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1318.1238 FALSE 1001
0 "real" 1 "NOVEL" 2 0 0 1151.1582 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1451.0745 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1233.7507 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1952.5982 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1072.0943 FALSE 1001
29 "pseudo" 7 "REPEAT" 2 16 1 915.5374 TRUE 1001
22 "real" 1 "REPEAT" 2 0 1 1897.5725 FALSE 1001
22 "real" 2 "REPEAT" 2 1 1 890.941 FALSE 1001
46 "real" 6 "REPEAT" 2 16 1 903.4009 TRUE 1001
0 "real" 1 "NOVEL" 2 0 0 956.429 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1608.9528 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 964.0814 FALSE 1001
46 "real" 7 "REPEAT" 2 4 1 938.0694 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1158.8148 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1222.903 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1119.9272 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 944.357 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1175.267 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1185.5613 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 923.2807 FALSE 1001
12 "pseudo" 1 "REPEAT" 2 0 1 1320.5147 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1238.3454 FALSE 1001
12 "pseudo" 2 "REPEAT" 2 2 1 959.0029 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1368.6761 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1007.133 FALSE 1001
9 "real" 1 "REPEAT" 2 0 0 1017.481 FALSE 1001
32 "pseudo" 4 "REPEAT" 2 32 1 884.7515 TRUE 1001
0 "real" 1 "NOVEL" 2 0 1 987.8929 FALSE 1001
32 "pseudo" 5 "REPEAT" 2 2 1 810.2742 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1036.1304 FALSE 1001
52 "pseudo" 1 "REPEAT" 2 0 1 1191.2292 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 0 1131.9116 FALSE 1001
32 "pseudo" 6 "REPEAT" 2 4 1 863.113 FALSE 1001
9 "real" 2 "REPEAT" 2 8 1 960.007 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 959.665 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1193.3494 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 0 1281.209 FALSE 1001
9 "real" 3 "REPEAT" 2 4 1 886.4793 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 951.1116 FALSE 1001
22 "real" 3 "REPEAT" 2 32 1 901.8186 FALSE 1001
32 "pseudo" 7 "REPEAT" 2 8 1 957.2101 FALSE 1001
22 "real" 4 "REPEAT" 2 2 1 974.8143 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1246.4728 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 0 1156.7006 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 0 1402.2075 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1343.1536 FALSE 1001
52 "pseudo" 2 "REPEAT" 2 16 1 1090.4105 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 950.4303 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1439.6622 FALSE 1001
0 "real" 1 "NOVEL" 2 0 0 958.1462 FALSE 1001
52 "pseudo" 3 "REPEAT" 2 4 1 951.8558 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1253.6133 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1646.6468 FALSE 1001
9 "real" 4 "REPEAT" 2 16 1 889.9196 FALSE 1001
12 "pseudo" 3 "REPEAT" 2 32 1 889.0648 FALSE 1001
12 "pseudo" 4 "REPEAT" 2 1 1 867.8505 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1044.7804 FALSE 1001
22 "real" 5 "REPEAT" 2 16 1 975.7457 FALSE 1001
52 "pseudo" 4 "REPEAT" 2 8 1 854.5708 FALSE 1001
18 "pseudo" 1 "REPEAT" 2 0 1 1146.7987 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1134.7798 FALSE 1001
22 "real" 6 "REPEAT" 2 4 1 840.3089 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 0 1021.5834 FALSE 1001
50 "pseudo" 1 "REPEAT" 2 0 1 1305.7344 FALSE 1001
50 "pseudo" 2 "REPEAT" 2 1 1 927.2838 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1327.8064 FALSE 1001
50 "pseudo" 3 "REPEAT" 2 2 1 878.0911 FALSE 1001
18 "pseudo" 2 "REPEAT" 2 8 0 889.4936 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 0 1074.3988 FALSE 1001
22 "real" 7 "REPEAT" 2 8 1 922.1847 FALSE 1001
50 "pseudo" 4 "REPEAT" 2 4 1 928.72 FALSE 1001
12 "pseudo" 5 "REPEAT" 2 16 1 874.7563 FALSE 1001
37 "real" 1 "REPEAT" 2 0 0 1006.0253 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1026.7026 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1156.1486 FALSE 1001
12 "pseudo" 6 "REPEAT" 2 4 1 875.1622 FALSE 1001
37 "real" 2 "REPEAT" 2 4 1 1248.371 FALSE 1001
31 "pseudo" 1 "REPEAT" 2 0 0 1228.0889 FALSE 1001
50 "pseudo" 5 "REPEAT" 2 8 1 1054.9842 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1443.9162 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1471.0514 FALSE 1001
31 "pseudo" 2 "REPEAT" 2 4 1 1154.9681 FALSE 1001
7 "real" 1 "REPEAT" 2 0 1 1258.474 FALSE 1001
12 "pseudo" 7 "REPEAT" 2 8 1 823.7994 FALSE 1001
7 "real" 2 "REPEAT" 2 2 1 1155.941 FALSE 1001
9 "real" 5 "REPEAT" 2 32 1 855.7672 FALSE 1001
9 "real" 6 "REPEAT" 2 1 1 838.1583 FALSE 1001
0 "real" 1 "NOVEL" 2 0 1 1079.5124 FALSE 1001
9 "real" 7 "REPEAT" 2 2 1 921.4096 FALSE 1001
0 "pseudo" 1 "NOVEL" 2 0 1 1284.4239 FALSE 1001
52 "pseudo" 5 "REPEAT" 2 32 1 1033.9672 FALSE 1001
